FullName;Price;Name;ProductionDate;Klm;CubicCapacity;Horsepower;GasType;GearBox;Age
Nissan Qashqai '22  1.3 DIG-T ΥΒΡΙΔΙΚΟ;29400.0;Nissan;2022-01-01;26100.0;1332.0;140.0;Υβριδικό βενζίνη;Αυτόματο;2
Bmw X5 '09 Χdrive ΠΑΝΟΡΑΜΑ;18300.0;Bmw;2009-07-01;275900.0;2996.0;275.0;Βενζίνη;Αυτόματο;15
Nissan Qashqai '18  1.5 dCi N-CONNECTA;18900.0;Nissan;2018-01-01;128000.0;1461.0;115.0;Πετρέλαιο;Manual;6
Volvo XC 90 '16 ΧC90 D5 INSCRIPTION 235;44300.0;Volvo;2016-10-01;157000.0;1969.0;235.0;Πετρέλαιο;Αυτόματο;8
Fiat New Panda '17 ΑΥΤΟΜΑΤΟ ΕΛΛΗΝΙΚΟ;12800.0;Fiat;2017-09-01;69000.0;875.0;85.0;Βενζίνη;Αυτόματο;7
Mini Countryman '16 ΕΛΛΗΝΙΚΟ ΠΑΝΟΡΑΜΑ NAVI;17400.0;Mini-Cooper;2016-01-01;55500.0;1598.0;122.0;Βενζίνη;Αυτόματο;8
Renault Kangoo '19   N1 1.5 dCi Profesional;10500.0;Renault;2019-02-01;202000.0;1461.0;90.0;Πετρέλαιο;Manual;5
Nissan Micra '19 Navigation  -euro 6;12000.0;Nissan;2019-06-01;100605.0;1461.0;90.0;Πετρέλαιο;Manual;5
Volvo XC 90 '15 INSCRIPTION 7-SEATS;43200.0;Volvo;2015-09-01;158000.0;1969.0;232.0;Πετρέλαιο;Αυτόματο;9
Mercedes-Benz C 63 AMG '20 AMG C63s night packet ΔΙΑΘΕΣΙΜΟ;99000.0;Mercedes-Benz;2020-04-01;45000.0;3982.0;510.0;Βενζίνη;Αυτόματο;4
Renault Kadjar '16 BUSINESS ECO dCi;17300.0;Renault;2016-09-01;128000.0;1461.0;110.0;Πετρέλαιο;Αυτόματο;8
Volkswagen Polo '21  1.5 TSI OPF Highline DSG (7-Gear);20990.0;Volkswagen;2021-04-01;62200.0;1500.0;190.0;Βενζίνη;Αυτόματο;3
Volkswagen Golf '10 Golf tsi 1.4;8200.0;Volkswagen;2010-01-01;252000.0;1400.0;150.0;Βενζίνη;Manual;14
